Model              TIME(t) ACC(t)  ERR(t)  ACC(v)  ERR(v)  Parameters
SYN2020-LUCID-p4   0.05696 0.98175 0.08783 0.99685 0.04730 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05779 0.97999 0.09093 0.99685 0.05021 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06215 0.98631 0.07517 0.99685 0.05052 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05806 0.98596 0.07968 0.99369 0.05356 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05780 0.98772 0.07059 0.99369 0.05050 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05715 0.98701 0.07185 0.99369 0.04821 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06374 0.98666 0.07424 0.99369 0.04691 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06116 0.98912 0.06478 0.99369 0.04886 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05735 0.98245 0.08624 0.99369 0.04925 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05694 0.98631 0.07096 0.99369 0.04698 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06202 0.98350 0.08193 0.99685 0.04622 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05800 0.98631 0.07068 0.99369 0.04707 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05801 0.98596 0.07457 0.99369 0.04826 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
